Id,Name,Painter,Description,Year_early,Year_late,Materials,Colors,Image
SK-A-500,"De heilige maagschap","Geertgen tot Sint Jans","Kerkinterieur met de heilige maagschap, allen verwanten van Christus. Links de heilige Anna, naast haar Maria met het Christuskind. Achter hen staan Joachim en Jozef. Rechts Elisabeth met Johannes de Doper als kind, hierbij ook Maria Salome en Maria Cleophas. Bij het altaar staan Alpheüs, Zebedeüs en Zacharias. Voor het altaar spelen de discipelen, nog als kinderen, Simon, Jacobus en Johannes. Voor het altaar steekt Judas Thaddeüs een kaars op de koorafsluiting aan. Op het altaar staat een beeldengroep van het offer van Abraham.",1495,1495,"eikenhout,olieverf","#323224, #A39380, #6E4C37, #947958, #BDB9AA, #15140D, #5C201E",http://lh3.googleusercontent.com/qjkiSAC89H2lvsgogjCe6WGLzMFNgdoCLHwRngvUX6BACTFTggkzIXE99tz9Em-hTf44MS9YeRsxCjDkW7tfC9lprw=s0
SK-A-4,"De bedreigde zwaan","Jan Asselijn","De bedreigde zwaan. Een zwaan verdedigt haar nest met eieren tegen een hond. De voorstelling heeft een politieke allegorische interpretatie gekregen doordat de zwaan is aangeduid als de raadpensionaris Johan de Witt, die Holland beschermt tegen de vijand.",1650,1650,"doek,olieverf","#40402F, #5F6456, #171710, #A8A689, #948761, #CCC6A6, #697873",http://lh3.googleusercontent.com/tm1DbZrAP0uBM-OJhLwvKir1Le5LglRF_bvbaNi6m-F_pIyttsWQz040soRY9pWA9PgNEYFA_fBkg_keYixRXCAjz9Q=s0
SK-A-404,"Galante conversatie, bekend als ‘De vaderlijke vermaning’","Gerard ter Borch (II)","Galante konversatie; bekend als 'De vaderlijke vermaning'. Interieur met een staande vrouw die wordt toegesproken door een zittende officier. Naast hem een zittende vrouw die uit een glas drinkt. Rechts een hond. Op de tafel een kandelaar met kaars en een opengeklapte spiegel.",1654,1654,"doek,olieverf","#0F0E0A, #2D261D, #ABAC97, #7D7251, #938F75, #504235",http://lh3.googleusercontent.com/FNNTrTASiUR0f49UVUY5bisIM-3RlAbf_AmktgnU_4ou1ZG0juh3pMT1-xpQmtN1R8At4Gq9B4ioSSi4TVrgbCZsmtY=s0
SK-C-109,"Italiaans landschap met tekenaar","Jan Both","Italiaans landschap met tekenaar. Een weg door het landschap met een brug over een bergstroom. Op de weg een man met een muilezel. Op de voorgrond enige zittende figuren.",1650,1652,"doek,olieverf","#2B2415, #C1B07E, #54401F, #73633B, #A19164, #827A5E, #9EA190",http://lh3.googleusercontent.com/0G5nN9xiSRIj6SJ0fi2ifDbcDST3QOFafjVXUSPNb5hqnr_gF_DKJdO1QiGcQ97V3y9zon-n1GSGL3cRPORXE3UzDIsk=s0
SK-A-2344,"Het melkmeisje","Johannes Vermeer","Een dienstmaagd staat achter een tafel en schenkt melk uit een melkkan in een kookpot. Op de tafel staat een mand met brood en een stenen kruik, links een venster met een rieten mand en een koperen pot. Onderaan de muur rechts een rijtje tegels en een stoofje.",1660,1660,"doek,olieverf","#7E6E50, #E3E0CB, #B7AD89, #3C4C76, #7587A4, #201D20",http://lh3.googleusercontent.com/cRtF3WdYfRQEraAcQz8dWDJOq3XsRX-h244rOw6zwkHtxy7NHjJOany7u4I2EG_uMAfNwBLHkFyLMENzpmfBTSYXIH_F=s0
SK-C-251,"Brieflezende vrouw","Johannes Vermeer","Brieflezende vrouw. Een jonge vrouw, staande bij een tafel met stoelen, leest een brief. Achter haar hangt aan de muur een landkaart op rollen.",1663,1663,"doek,olieverf","#565435, #D0D2C8, #989E9B, #747868, #333F4F, #0F1219",http://lh3.googleusercontent.com/n7X03-aBMaHLQmd9UZXy0WSO81bLI376BMv8tjXfah_-BqdJURY-FoyX_YJKj5WuV5j3P8rLNEHM-T8jJztag9FQZkD3=s0
SK-A-447,"De zielenvisserij","Adriaen Pietersz. van de Venne","De zielenvisserij: allegorie op de ijverzucht van de verschillende religies tijdens het Twaalfjarig Bestand (1609-1621) tussen de Nederlandse Republiek en Spanje. In een rivierlandschap bevinden zich grote groepen mensen aan beide oevers van de rivier, op het water bevinden zich enkele roeiboten. Aan de horizon een regenboog. Aan de linker zijde de Protestanten en hun aanhangers, de prinsen van Oranje, Maurits en Frederik Hendrik, Frederik V van de Palts, Jacobus I, koning van Engeland en de jeugdige Lodewijk XIII, koning van Frankrijk met zijn moeder Maria de' Medici. In de boot op de voorgrond zitten de protestantse vissers, hun netten zijn gemerkt met Fides, Spes en Charitas. Aan de rechter zijde staan de katholieken en hun aanhangers: de aartshertogen Albrecht en Isabella, generaal Ambrosio Spinola en de paus gedragen door kardinalen. In het katholieke bootje vissen priesters onder leiding van een bisschop.",1614,1614,"paneel,olieverf","#585946, #2A2818, #918B71, #4B3C29, #7A735B, #BDBDA4, #0F100B",http://lh3.googleusercontent.com/hW-VHwzu0W0pvuTVVnx2vSCnO__rILy0Auxqz8L4TWVC0VWWaxrSGRDqGIBqKdl5nIINoxOlkFtlTNQQdsP3eOOhXw=s0
SK-A-1718,"Winterlandschap met schaatsers","Hendrick Avercamp","Winterlandschap met ijsvermaak. Dorpsgezicht met vele figuren op het ijs: schaatsers, kolfspelers, wandelaars. Rechts een arrenslede, links een kerk.",1608,1608,"paneel,olieverf","#B0AD92, #64614A, #D7D3BA, #76806F, #373B30, #1F1C15, #9E824E",http://lh3.googleusercontent.com/LW9vbQVQVGCgWznrQnEXKli4lRYmVFiUdEygCni9jDN2zXhXH4IpsgSD2aROfNoItYBCCzBv08REKrwQdUj3GqO3vdqj=s0
SK-A-1365,"De zeeslag bij Terheide","Willem van de Velde (I)","De zeeslag bij Terheide, 10 augustus 1653: episode uit de Eerste Engelse Zeeoorlog (1652-54). Slag tussen Nederlandse en Engelse oorlogsschepen. Afgebeeld zijn (onder andere) de schepen Hollandia, Vrede, Resolution, Zeelandia en Brederode.",1657,1657,"doek,inkt","#D4D5C6, #B1B4A9, #909389, #6C7168, #515950, #374037, #1E281E",http://lh5.ggpht.com/NNwpBd1GteTy1QVYsJH64dJh_eb8pORRD5AtB2tfrYRvvFlM5-07MakQOYmYo3h6-09spXyHfJZbjv6ODhPJiStHjQ=s0
SK-A-2860,"Gezicht op huizen in Delft, bekend als ‘Het straatje’","Johannes Vermeer","Gezicht op huizen in Delft, bekend als 'Het straatje'. De gevels van enkele huizen aan een straat in Delft. Tussen de huizen een steegje waar een vrouw over een wastobbe gebogen staat. In de openstaande deur van het huis rechts zit een vrouw te handwerken, links voor het huis op de stoep twee spelende kinderen.",1658,1658,"doek,olieverf","#664B39, #BDB69F, #988F7A, #31291F, #716957, #DDD6BE, #11100C",http://lh3.googleusercontent.com/QjRm4UQbUvfY3H8MOPYjQKvMWWMIITAI3jVto147znHC3_dEEYKJF_UQsj7FZ59VxEzxaauQ98bUAwFLSfLW3Syiza3Q=s0
SK-A-3580,"De Singelbrug bij de Paleisstraat in Amsterdam","George Hendrik Breitner","De Singelbrug bij de Paleisstraat te Amsterdam. Wintergezicht met figuren die de brug oversteken. Op de voorgrond een vrouw met voile en een bruine mantel afgezet met bont.",1898,1898,"olieverf,doek","#523821, #17130D, #66533A, #85765F, #9B8C72, #B4A488, #76674D",http://lh3.googleusercontent.com/Bawo7r1nPZV6sJ4OHZJHdKV_4Ky59vquAR7KoUXcNZgx9fqTaOW-QaOM9qoyYhOTAopzjt9OIfW06RMwa-9eJW9KjQw=s0
SK-A-799,"Stilleven met bloemen","Hans Bollongier","Stilleven met bloemen. Tulpen en andere bloemen in een vaas op een stenen blad waarop een hagedis, een slak en enige rupsen rondkruipen.",1639,1639,"paneel,olieverf","#563629, #1F130B, #7D6347, #AA9B75, #EAEBDA, #CAC6B8, #E8D98D",http://lh3.googleusercontent.com/D2IPnfkJPa8cPSuhehu5e2aeteqzK5Zb0OzL9-zA4_FHBQHrD8RLT_3XZ9FDYtE64e_cdqTxZF_VfG4MsPcKr90FV6E=s0
SK-A-3584,"Meisje in witte kimono","George Hendrik Breitner","Een meisje gekleed in een kimono, achterover liggend op een bank. Waarschijnlijk het model Geesje Kwak.",1894,1894,"olieverf,doek","#1A140D, #7C6235, #38302D, #968661, #B8A67B, #9C3B29, #B89B14",http://lh3.googleusercontent.com/0bgOiMrBM2GuhW_pNeQW711GuB3kD7Gq7AILGHaJGeWKa1Fu1hUJGpOjvSpiP_XpgRlC4jVmH0Z1233PEPMJTfNRR7Q=s0
SK-C-5,"Schutters van wijk II onder leiding van kapitein Frans Banninck Cocq, bekend als de ‘Nachtwacht’","Rembrandt van Rijn","Het korporaalschap van kapitein Frans Banninck Cocq en luitenant Willem van Ruytenburch, bekend als de 'Nachtwacht'. Schutters van de kloveniersdoelen uit een poort naar buiten tredend. Op een schild aangebracht naast de poort staan de namen van de afgebeelde personen: Frans Banning Cocq, heer van purmerlant en Ilpendam, Capiteijn Willem van Ruijtenburch van Vlaerdingen, heer van Vlaerdingen, Lu[ij]tenant, Jan Visscher Cornelisen Vaendrich, Rombout Kemp Sergeant, Reijnier Engelen Sergeant, Barent Harmansen, Jan Adriaensen Keyser, Elbert Willemsen, Jan Clasen Leydeckers, Jan Ockersen, Jan Pietersen bronchorst, Harman Iacobsen wormskerck, Jacob Dircksen de Roy, Jan vander heede, Walich Schellingwou, Jan brugman, Claes van Cruysbergen, Paulus Schoonhoven. De schutters zijn gewapend met lansen, musketten en hellebaarden. Rechts de tamboer met een grote trommel. Tussen de soldaten links staat een meisje met een dode kip om haar middel, rechts een blaffende hond. Linksboven de vaandrig met de uitgestoken vaandel.",1642,1642,"doek,olieverf","#261808, #5E3C14, #9C8238, #885617, #AF9F6B, #6C6238, #D7CB9E",http://lh3.googleusercontent.com/J-mxAE7CPu-DXIOx4QKBtb0GC4ud37da1QK7CzbTIDswmvZHXhLm4Tv2-1H3iBXJWAW_bHm7dMl3j5wv_XiWAg55VOM=s0
SK-C-597,"Portret van een vrouw, mogelijk Maria Trip","Rembrandt van Rijn","Portret van Maria Trip (1619-83), zuster van Jacobus Trip en later de echtgenote van Balthasar Coymans. Staande, ten halven lijve, naar links. De linkerarm rust op een trapleuning, in de hand een waaier.",1639,1639,"paneel,olieverf","#0B0906, #2F2718, #A69272, #CEC9B6, #755F42, #BBAC8E, #4D4534",http://lh3.googleusercontent.com/AyiKhdEWJ7XmtPXQbRg_kWqKn6mCV07bsuUB01hJHjVVP-ZQFmzjTWt7JIWiQFZbb9l5tKFhVOspmco4lMwqwWImfgg=s0
SK-C-1367,"Portretten van Giuliano en Francesco Giamberti da Sangallo","Piero di Cosimo","Portret van Francesco Giamberti da Sangallo (1404-1482). Architect en musicus, vader van Giuliano de Sangallo. Buste, profiel naar links, op de achtergrond een landschap. Onderaan de voorstelling op een plint ligt een blad met muziek. Onderdeel, met SK-C-1368, van een diptiek.",1482,1485,"paneel,olieverf","#464A49, #11100B, #9F8458, #547392, #9EADB2, #7E2C1A, #D5CBA6",http://lh3.googleusercontent.com/x9NFmu-RbZ_9M5BK_hOzQRdVj4pu7p--y_IYwDK46lDPzQtTIO9AlBV_ObgQiY7GeWE0ZfNjMSyrCWgnwL4MCasQZQ=s0
SK-A-3064,"Portret van een meisje in het blauw","Johannes Cornelisz. Verspronck","Portret van een meisje in het blauw. Staande, ten halven lijve, in de handen een veren waaier.",1641,1641,"doek,olieverf","#181815, #C5C2B5, #37362D, #918470, #504F42, #6B6856",http://lh3.googleusercontent.com/Q7IcXXiZWTFSp9qNAA8WAN1Jl17vh81SCvudE6jvVkhvkPESy3Eywn1MqailKyFwzMI8vX4__0nKCPvFNACKV3o984b8=s0
SK-C-216,"Isaak en Rebekka, bekend als ‘Het Joodse bruidje’","Rembrandt van Rijn","Portret van een paar als Isaac en Rebecca of andere Oud-Testamentische figuren, bekend onder de titel 'Het Joodse bruidje' of 'De Joodse bruid'. De man legt zijn rechterhand op de borst van de vrouw, de linkerarm over de schouders. De vrouw legt haar linkerhand op de hand van de man, de rechterhand voor de buik. Het paar is geportretteerd staande, tot de knieën, voor een muur.",1665,1669,"linnen,olieverf","",http://lh3.googleusercontent.com/mAyAjvYjIeAIlByhJx1Huctgeb58y7519XYP38oL1FXarhVlcXW7kxuwayOCFdnwtOp6B6F0HJmmws-Ceo5b_pNSSQs=s0
SK-A-372,"Maria Magdalena","Jan van Scorel","Maria Magdalena zittend onder een boom met de zalfpot op de schoot. De heilige zit in een landschap met bergen en grillige rotspartijen.",1530,1530,"paneel,olieverf","#1D150D, #4E3E25, #B1B09F, #959480, #5F563E, #CBCBB7, #7A755C",http://lh3.googleusercontent.com/moxL3z7zz5j_5gQCgvRGcmLD-RDhVgZvA2NGREYgkLTkYUbGa4Ts-57UaQ4ilN38xWX6w_gb_eU6hkMZcC-wfMg5NQ=s0
