Id,Name,Painter,Description,Year_early,Year_late,Materials,Colors,Image
SK-A-500,De heilige maagschap,Geertgen tot Sint Jans,"Kerkinterieur met de heilige maagschap, allen verwanten van Christus. Links de heilige Anna, naast haar Maria met het Christuskind. Achter hen staan Joachim en Jozef. Rechts Elisabeth met Johannes de Doper als kind, hierbij ook Maria Salome en Maria Cleophas. Bij het altaar staan Alpheüs, Zebedeüs en Zacharias. Voor het altaar spelen de discipelen, nog als kinderen, Simon, Jacobus en Johannes. Voor het altaar steekt Judas Thaddeüs een kaars op de koorafsluiting aan. Op het altaar staat een beeldengroep van het offer van Abraham.",1495,1495,"eikenhout,olieverf",['#3b3600'],http://lh3.googleusercontent.com/qjkiSAC89H2lvsgogjCe6WGLzMFNgdoCLHwRngvUX6BACTFTggkzIXE99tz9Em-hTf44MS9YeRsxCjDkW7tfC9lprw=s0
SK-A-4,De bedreigde zwaan,Jan Asselijn,"De bedreigde zwaan. Een zwaan verdedigt haar nest met eieren tegen een hond. De voorstelling heeft een politieke allegorische interpretatie gekregen doordat de zwaan is aangeduid als de raadpensionaris Johan de Witt, die Holland beschermt tegen de vijand.",1650,1650,"doek,olieverf",['#9f9d00'],http://lh3.googleusercontent.com/tm1DbZrAP0uBM-OJhLwvKir1Le5LglRF_bvbaNi6m-F_pIyttsWQz040soRY9pWA9PgNEYFA_fBkg_keYixRXCAjz9Q=s0
SK-A-404,"Galante conversatie, bekend als ‘De vaderlijke vermaning’",Gerard ter Borch (II),Galante konversatie; bekend als 'De vaderlijke vermaning'. Interieur met een staande vrouw die wordt toegesproken door een zittende officier. Naast hem een zittende vrouw die uit een glas drinkt. Rechts een hond. Op de tafel een kandelaar met kaars en een opengeklapte spiegel.,1654,1654,"doek,olieverf",['#4d4800'],http://lh3.googleusercontent.com/FNNTrTASiUR0f49UVUY5bisIM-3RlAbf_AmktgnU_4ou1ZG0juh3pMT1-xpQmtN1R8At4Gq9B4ioSSi4TVrgbCZsmtY=s0
SK-C-109,Italiaans landschap met tekenaar,Jan Both,Italiaans landschap met tekenaar. Een weg door het landschap met een brug over een bergstroom. Op de weg een man met een muilezel. Op de voorgrond enige zittende figuren.,1650,1652,"doek,olieverf",['#534600'],http://lh3.googleusercontent.com/0G5nN9xiSRIj6SJ0fi2ifDbcDST3QOFafjVXUSPNb5hqnr_gF_DKJdO1QiGcQ97V3y9zon-n1GSGL3cRPORXE3UzDIsk=s0
SK-A-2344,Het melkmeisje,Johannes Vermeer,"Een dienstmaagd staat achter een tafel en schenkt melk uit een melkkan in een kookpot. Op de tafel staat een mand met brood en een stenen kruik, links een venster met een rieten mand en een koperen pot. Onderaan de muur rechts een rijtje tegels en een stoofje.",1660,1660,"doek,olieverf",['black'],http://lh3.googleusercontent.com/cRtF3WdYfRQEraAcQz8dWDJOq3XsRX-h244rOw6zwkHtxy7NHjJOany7u4I2EG_uMAfNwBLHkFyLMENzpmfBTSYXIH_F=s0
SK-C-251,Brieflezende vrouw,Johannes Vermeer,"Brieflezende vrouw. Een jonge vrouw, staande bij een tafel met stoelen, leest een brief. Achter haar hangt aan de muur een landkaart op rollen.",1663,1663,"doek,olieverf",['gray'],http://lh3.googleusercontent.com/n7X03-aBMaHLQmd9UZXy0WSO81bLI376BMv8tjXfah_-BqdJURY-FoyX_YJKj5WuV5j3P8rLNEHM-T8jJztag9FQZkD3=s0
SK-A-447,De zielenvisserij,Adriaen Pietersz. van de Venne,"De zielenvisserij: allegorie op de ijverzucht van de verschillende religies tijdens het Twaalfjarig Bestand (1609-1621) tussen de Nederlandse Republiek en Spanje. In een rivierlandschap bevinden zich grote groepen mensen aan beide oevers van de rivier, op het water bevinden zich enkele roeiboten. Aan de horizon een regenboog. Aan de linker zijde de Protestanten en hun aanhangers, de prinsen van Oranje, Maurits en Frederik Hendrik, Frederik V van de Palts, Jacobus I, koning van Engeland en de jeugdige Lodewijk XIII, koning van Frankrijk met zijn moeder Maria de' Medici. In de boot op de voorgrond zitten de protestantse vissers, hun netten zijn gemerkt met Fides, Spes en Charitas. Aan de rechter zijde staan de katholieken en hun aanhangers: de aartshertogen Albrecht en Isabella, generaal Ambrosio Spinola en de paus gedragen door kardinalen. In het katholieke bootje vissen priesters onder leiding van een bisschop.",1614,1614,"paneel,olieverf",['#414200'],http://lh3.googleusercontent.com/hW-VHwzu0W0pvuTVVnx2vSCnO__rILy0Auxqz8L4TWVC0VWWaxrSGRDqGIBqKdl5nIINoxOlkFtlTNQQdsP3eOOhXw=s0
SK-A-1718,Winterlandschap met schaatsers,Hendrick Avercamp,"Winterlandschap met ijsvermaak. Dorpsgezicht met vele figuren op het ijs: schaatsers, kolfspelers, wandelaars. Rechts een arrenslede, links een kerk.",1608,1608,"paneel,olieverf",['#bfbb00'],http://lh3.googleusercontent.com/LW9vbQVQVGCgWznrQnEXKli4lRYmVFiUdEygCni9jDN2zXhXH4IpsgSD2aROfNoItYBCCzBv08REKrwQdUj3GqO3vdqj=s0
SK-A-1365,De zeeslag bij Terheide,Willem van de Velde (I),"De zeeslag bij Terheide, 10 augustus 1653: episode uit de Eerste Engelse Zeeoorlog (1652-54). Slag tussen Nederlandse en Engelse oorlogsschepen. Afgebeeld zijn (onder andere) de schepen Hollandia, Vrede, Resolution, Zeelandia en Brederode.",1657,1657,"doek,inkt",['#d6d000'],http://lh5.ggpht.com/NNwpBd1GteTy1QVYsJH64dJh_eb8pORRD5AtB2tfrYRvvFlM5-07MakQOYmYo3h6-09spXyHfJZbjv6ODhPJiStHjQ=s0
SK-A-2860,"Gezicht op huizen in Delft, bekend als ‘Het straatje’",Johannes Vermeer,"Gezicht op huizen in Delft, bekend als 'Het straatje'. De gevels van enkele huizen aan een straat in Delft. Tussen de huizen een steegje waar een vrouw over een wastobbe gebogen staat. In de openstaande deur van het huis rechts zit een vrouw te handwerken, links voor het huis op de stoep twee spelende kinderen.",1658,1658,"doek,olieverf",['gray'],http://lh3.googleusercontent.com/QjRm4UQbUvfY3H8MOPYjQKvMWWMIITAI3jVto147znHC3_dEEYKJF_UQsj7FZ59VxEzxaauQ98bUAwFLSfLW3Syiza3Q=s0
SK-A-3580,De Singelbrug bij de Paleisstraat in Amsterdam,George Hendrik Breitner,De Singelbrug bij de Paleisstraat te Amsterdam. Wintergezicht met figuren die de brug oversteken. Op de voorgrond een vrouw met voile en een bruine mantel afgezet met bont.,1898,1898,"olieverf,doek",['#2c2200'],http://lh3.googleusercontent.com/Bawo7r1nPZV6sJ4OHZJHdKV_4Ky59vquAR7KoUXcNZgx9fqTaOW-QaOM9qoyYhOTAopzjt9OIfW06RMwa-9eJW9KjQw=s0
SK-A-799,Stilleven met bloemen,Hans Bollongier,"Stilleven met bloemen. Tulpen en andere bloemen in een vaas op een stenen blad waarop een hagedis, een slak en enige rupsen rondkruipen.",1639,1639,"paneel,olieverf",['#362700'],http://lh3.googleusercontent.com/D2IPnfkJPa8cPSuhehu5e2aeteqzK5Zb0OzL9-zA4_FHBQHrD8RLT_3XZ9FDYtE64e_cdqTxZF_VfG4MsPcKr90FV6E=s0
SK-A-3584,Meisje in witte kimono,George Hendrik Breitner,"Een meisje gekleed in een kimono, achterover liggend op een bank. Waarschijnlijk het model Geesje Kwak.",1894,1894,"olieverf,doek",['#3b3200'],http://lh3.googleusercontent.com/0bgOiMrBM2GuhW_pNeQW711GuB3kD7Gq7AILGHaJGeWKa1Fu1hUJGpOjvSpiP_XpgRlC4jVmH0Z1233PEPMJTfNRR7Q=s0
SK-C-5,"Schutters van wijk II onder leiding van kapitein Frans Banninck Cocq, bekend als de ‘Nachtwacht’",Rembrandt van Rijn,"Het korporaalschap van kapitein Frans Banninck Cocq en luitenant Willem van Ruytenburch, bekend als de 'Nachtwacht'. Schutters van de kloveniersdoelen uit een poort naar buiten tredend. Op een schild aangebracht naast de poort staan de namen van de afgebeelde personen: Frans Banning Cocq, heer van purmerlant en Ilpendam, Capiteijn Willem van Ruijtenburch van Vlaerdingen, heer van Vlaerdingen, Lu[ij]tenant, Jan Visscher Cornelisen Vaendrich, Rombout Kemp Sergeant, Reijnier Engelen Sergeant, Barent Harmansen, Jan Adriaensen Keyser, Elbert Willemsen, Jan Clasen Leydeckers, Jan Ockersen, Jan Pietersen bronchorst, Harman Iacobsen wormskerck, Jacob Dircksen de Roy, Jan vander heede, Walich Schellingwou, Jan brugman, Claes van Cruysbergen, Paulus Schoonhoven. De schutters zijn gewapend met lansen, musketten en hellebaarden. Rechts de tamboer met een grote trommel. Tussen de soldaten links staat een meisje met een dode kip om haar middel, rechts een blaffende hond. Linksboven de vaandrig met de uitgestoken vaandel.",1642,1642,"doek,olieverf",['#3b2c00'],http://lh3.googleusercontent.com/J-mxAE7CPu-DXIOx4QKBtb0GC4ud37da1QK7CzbTIDswmvZHXhLm4Tv2-1H3iBXJWAW_bHm7dMl3j5wv_XiWAg55VOM=s0
SK-C-597,"Portret van een vrouw, mogelijk Maria Trip",Rembrandt van Rijn,"Portret van Maria Trip (1619-83), zuster van Jacobus Trip en later de echtgenote van Balthasar Coymans. Staande, ten halven lijve, naar links. De linkerarm rust op een trapleuning, in de hand een waaier.",1639,1639,"paneel,olieverf",['#bdb400'],http://lh3.googleusercontent.com/AyiKhdEWJ7XmtPXQbRg_kWqKn6mCV07bsuUB01hJHjVVP-ZQFmzjTWt7JIWiQFZbb9l5tKFhVOspmco4lMwqwWImfgg=s0
SK-C-1367,Portretten van Giuliano en Francesco Giamberti da Sangallo,Piero di Cosimo,"Portret van Francesco Giamberti da Sangallo (1404-1482). Architect en musicus, vader van Giuliano de Sangallo. Buste, profiel naar links, op de achtergrond een landschap. Onderaan de voorstelling op een plint ligt een blad met muziek. Onderdeel, met SK-C-1368, van een diptiek.",1482,1485,"paneel,olieverf",['black'],http://lh3.googleusercontent.com/x9NFmu-RbZ_9M5BK_hOzQRdVj4pu7p--y_IYwDK46lDPzQtTIO9AlBV_ObgQiY7GeWE0ZfNjMSyrCWgnwL4MCasQZQ=s0
